"s","d","studage","lectage","service","dept","y"
"2087","483","6","4","0","2",2
"2573","664","2","2","1","11",3
"1765","827","2","2","1","12",5
"711","599","6","2","0","5",2
"915","260","2","2","0","12",5
"2640","702","2","3","0","6",5
"2972","1722","4","5","1","11",5
"1039","494","6","3","1","9",2
"310","2070","2","3","1","2",3
"1022","369","8","6","1","6",3
"1168","1542","8","6","1","15",5
"137","972","8","2","0","4",3
"1369","446","4","3","1","6",5
"1168","401","8","6","0","4",3
"2385","1400","2","1","0","6",5
"1839","15","2","1","0","7",2
"746","66","2","1","1","11",4
"709","214","2","2","1","4",1
"1933","2043","4","2","0","6",4
"1521","1965","8","2","0","6",2
"2542","1711","8","6","0","3",4
"1072","1840","4","6","1","11",3
"694","1880","8","5","1","6",2
"1588","1492","2","1","1","11",4
"1146","12","8","3","1","14",3
"2329","622","8","6","1","11",1
"2045","70","6","6","1","11",2
"1401","65","6","3","0","2",3
"1965","357","8","3","1","8",4
"911","1439","8","2","0","5",5
"2345","1795","8","5","0","4",5
"1210","1564","8","3","0","2",3
"1916","1701","2","1","1","2",4
"1729","19","4","4","1","15",5
"2455","659","4","4","0","12",2
"799","361","4","2","0","12",4
"2328","453","4","1","0","5",3
"905","220","6","5","0","12",3
"968","1219","6","6","1","6",1
"1380","945","4","4","1","4",4
"2344","2026","8","6","1","8",4
"2651","763","8","3","0","5",5
"2962","1925","6","2","0","6",3
"2519","598","8","3","1","10",1
"2235","1178","6","1","0","6",5
"1878","1797","4","4","0","14",4
"791","1275","4","4","1","11",5
"1708","670","2","1","0","5",3
"2585","79","8","5","0","4",5
"654","1329","6","2","0","6",2
"2299","1049","2","1","1","2",5
"296","1780","4","4","1","11",3
"1624","1172","8","6","0","10",3
"1517","474","4","2","1","1",4
"1185","205","8","4","0","12",3
"1022","616","8","3","0","7",3
"2558","1246","2","1","1","12",5
"1780","1817","2","2","1","11",4
"1081","17","4","3","1","2",3
"2470","988","6","6","0","5",5
"1872","1755","4","1","1","11",5
"201","178","6","4","0","14",2
"1952","764","8","6","0","10",1
"189","587","8","6","0","9",1
"404","763","8","3","0","5",4
"2870","1080","8","6","0","3",5
"654","601","6","5","0","6",4
"1611","603","8","1","1","8",3
"1131","2013","2","2","0","11",4
"2813","2075","8","3","0","12",3
"2566","801","6","6","0","5",5
"1190","862","4","4","0","10",3
"402","67","6","4","1","4",4
"969","1050","8","3","1","6",4
"590","1780","8","6","1","11",4
"1359","1521","6","3","0","12",1
"2102","7","4","1","1","11",5
"1432","1749","4","2","0","10",2
"2202","327","2","2","1","2",3
"2424","590","4","4","1","12",1
"964","622","8","6","1","11",2
"2016","562","2","2","0","6",4
"2517","1984","8","6","0","10",2
"71","688","6","6","1","10",2
"2304","719","8","2","0","3",3
"916","441","8","1","0","10",3
"1275","96","2","1","1","11",1
"1162","1897","2","5","1","6",3
"2060","139","6","4","1","12",5
"1741","442","4","4","0","1",5
"2374","1925","2","1","1","6",3
"834","1277","6","3","0","7",2
"213","2118","6","5","0","1",5
"347","1207","8","6","0","9",5
"1573","2079","6","6","1","11",1
"43","1185","6","4","1","4",1
"2331","65","6","4","1","2",5
"1992","1583","8","4","0","4",5
"1706","1203","4","3","1","3",4
"2125","1816","8","5","0","12",2
"2749","1939","2","4","0","3",3
"1852","25","6","5","0","5",2
"1442","2079","2","4","1","11",1
"1254","275","2","1","0","3",3
"2649","273","2","1","0","10",1
"1969","1203","4","4","1","3",5
"2378","1382","2","2","1","3",1
"829","1454","4","1","1","8",1
"604","1056","6","6","1","8",2
"409","397","4","3","0","6",3
"2865","1146","4","1","0","12",3
"2156","621","6","3","1","2",3
"2887","1180","6","1","0","15",4
"1607","790","2","1","1","11",4
"79","1513","6","5","1","12",4
"2903","70","6","6","1","11",1
"900","944","4","4","0","11",4
"371","1722","2","1","1","11",1
"2340","983","6","2","1","4",1
"1525","714","2","2","1","7",4
"889","248","8","4","0","10",2
"2717","849","4","1","1","2",3
"2903","1784","6","1","0","9",2
"1236","538","2","2","1","11",3
"1067","70","8","6","1","11",1
"1917","305","6","3","0","9",1
"464","366","8","1","1","11",3
"53","742","4","6","0","12",3
"1723","474","8","4","1","1",1
"1363","831","6","3","1","10",3
"1997","1718","6","5","0","8",5
"2934","827","2","2","0","12",4
"2140","1984","4","1","0","10",1
"2383","53","6","2","0","9",5
"2360","53","4","1","1","9",1
"2641","977","2","2","0","6",4
"2260","2063","8","1","0","15",2
"1169","65","2","1","1","2",5
"1439","1224","2","2","1","3",5
"292","1722","6","5","1","11",5
"2716","1643","8","6","1","11",4
"2864","1241","8","1","0","4",3
"1296","817","6","5","1","4",4
"1775","2015","6","2","0","12",1
"1368","323","6","3","0","10",5
"2851","1998","4","2","0","4",4
"2736","428","4","2","0","5",2
"1323","831","6","3","1","10",4
"1555","624","6","1","0","9",4
"2631","1258","6","2","0","12",5
"2367","597","6","4","0","10",2
"2503","7","6","3","1","11",5
"470","1747","6","6","1","4",3
"1457","1314","6","3","0","12",2
"2151","620","8","1","1","14",1
"275","2084","8","6","0","10",4
"1824","2100","8","6","0","9",2
"1852","117","6","2","0","5",4
"1185","1468","8","6","1","11",2
"2972","1106","4","1","1","4",3
"628","936","6","1","0","6",4
"1892","1949","4","4","1","8",1
"2413","57","4","1","1","11",1
"1238","1172","6","5","0","10",2
"446","82","2","2","1","9",1
"253","240","6","4","0","3",5
"983","1899","8","3","0","14",1
"1093","502","6","1","0","9",5
"1962","361","4","2","1","12",3
"2341","66","2","1","1","11",2
"1329","1578","2","2","1","12",2
"1439","1179","2","2","0","6",2
"2966","1645","8","2","0","14",4
"2012","56","6","1","0","12",2
"1361","849","8","6","1","2",3
"1874","1056","6","6","0","8",3
"1869","1673","2","1","1","1",2
"2719","1217","6","1","0","6",4
"2589","1219","4","2","1","6",3
"770","67","8","6","0","4",3
"2925","1984","8","6","0","10",1
"2775","1566","2","1","1","9",1
"170","1695","8","2","0","15",4
"506","178","8","1","0","14",3
"2970","1736","8","4","1","12",5
"1356","1186","6","4","1","4",5
"1319","736","8","4","1","8",5
"2631","2083","6","4","1","6",1
"792","1124","6","2","0","15",1
"1079","65","2","1","0","2",5
"1546","1158","6","4","0","9",3
"194","1349","6","4","0","2",4
"774","2113","2","1","0","5",5
"799","401","4","4","1","4",4
"515","453","8","1","0","5",5
"959","591","8","3","0","4",3
"1040","82","6","6","1","9",3
"2118","1361","4","2","0","2",3
"1684","1566","8","4","0","9",1
"2204","1919","2","1","1","3",5
"1474","1448","6","1","1","4",5
"768","862","4","4","0","10",2
"1153","260","2","1","1","12",4
"2640","1879","2","3","0","6",5
"1959","1398","4","1","0","8",4
"1403","1579","6","3","0","7",5
"395","474","2","1","0","1",5
"1840","260","2","2","1","12",3
"134","82","8","6","0","9",4
"2364","621","4","1","1","2",2
"2680","817","6","3","1","4",3
"2738","756","6","6","0","5",3
"150","1898","6","2","0","15",2
"1287","1537","8","6","1","12",2
"732","432","2","2","0","3",1
"244","328","6","1","1","2",4
"1884","1050","6","3","1","6",5
"1581","297","4","3","1","9",4
"1549","883","6","4","0","4",1
"2238","51","2","1","1","3",1
"507","1705","2","1","1","11",1
"364","1910","6","1","1","2",5
"357","1203","4","4","1","3",1
"2790","939","4","2","1","14",3
"2427","1018","2","2","0","3",3
"475","1513","6","1","1","12",1
"1470","494","4","3","1","9",4
"132","119","6","6","0","3",1
"931","1841","4","2","0","12",5
"2776","1086","6","6","1","6",3
"2393","1763","8","1","0","9",4
"2531","435","8","1","1","8",5
"1623","1471","8","5","0","6",2
"1161","314","8","1","0","11",4
"885","96","4","3","1","11",5
"1791","67","4","2","1","4",2
"2617","714","8","6","1","7",1
"195","365","6","6","1","10",5
"1405","532","2","2","0","3",3
"2048","1919","2","1","0","3",4
"896","540","2","2","0","4",4
"2857","1984","8","3","0","10",3
"545","1841","4","2","0","12",3
"601","1676","4","3","0","6",3
"332","1850","4","2","0","7",5
"1725","2002","6","3","1","8",3
"1556","1739","8","1","1","3",5
"1710","2108","8","3","0","5",4
"1728","1904","4","2","0","1",5
"1408","1984","6","3","0","10",1
"2651","1317","8","6","0","5",4
"2529","2013","2","2","1","11",4
"2855","1784","4","6","1","9",1
"1813","281","2","2","0","6",1
"2758","432","2","1","0","3",1
"482","1461","4","3","0","5",3
"2773","2108","6","1","0","5",1
"2439","1369","4","4","0","6",3
"235","828","8","4","0","4",3
"2875","527","4","4","0","15",3
"1265","358","6","5","0","9",3
"2445","1267","4","4","0","2",3
"2879","1264","4","3","1","11",1
"504","66","8","5","0","11",4
"2438","2113","2","1","0","5",3
"2447","2160","4","3","1","2",1
"1496","335","6","1","0","12",1
"1020","849","2","1","1","2",5
"829","1312","4","3","0","9",3
"1895","1840","4","6","1","11",3
"142","2149","4","6","1","12",5
"1241","2004","6","2","0","7",5
"2519","1612","8","6","1","6",1
"1998","1676","4","3","0","6",4
"1268","932","2","2","0","12",4
"2384","1000","2","1","0","1",2
"1179","2013","6","3","0","11",1
"1750","1565","6","2","0","3",5
"211","1404","6","6","0","15",3
"2418","1041","4","1","1","5",5
"2771","2113","6","6","0","5",3
"409","687","4","2","1","12",3
"2879","1203","4","6","1","3",2
"1786","1006","4","1","0","6",5
"207","828","8","2","1","4",5
"1338","2121","4","2","1","2",3
"2643","8","6","1","0","12",5
"635","1705","2","1","1","11",3
"2494","2034","6","5","1","6",3
"671","1366","6","1","0","6",4
"1293","1842","2","2","0","3",4
"1848","883","8","3","0","4",5
"1535","1500","6","5","1","12",2
"2903","873","6","3","0","9",2
"2467","1938","8","6","1","8",2
"732","1842","2","2","0","3",1
"1207","977","8","6","1","6",5
"345","1959","4","1","1","6",4
"2810","1087","8","2","1","1",4
"337","14","8","4","0","12",4
"2419","1722","4","3","1","11",5
"206","959","4","3","0","3",4
"599","428","4","2","0","5",3
"2263","602","2","1","0","12",1
"2440","2147","8","4","0","14",3
"1630","972","6","4","0","4",4
"2143","205","6","1","0","12",2
"128","454","8","5","1","6",1
"378","392","4","1","0","15",5
"1084","353","6","1","0","5",5
"77","2103","6","6","1","11",5
"752","135","4","5","0","14",1
"483","65","2","1","1","2",2
"1748","1655","8","5","0","14",5
"1627","441","6","5","0","10",4
"2783","1594","4","2","1","4",3
"2229","827","6","3","0","12",4
"274","1048","2","3","0","12",3
"2556","1887","2","1","0","6",3
"1473","487","8","2","0","14",5
"1743","317","8","5","0","10",3
"2088","806","8","4","0","4",2
"320","1244","4","3","0","3",5
"695","260","6","5","1","12",4
"2059","936","6","2","0","6",3
"152","1736","6","6","1","12",4
"2822","1172","8","3","0","10",4
"2871","25","6","5","0","5",2
"986","538","2","2","1","11",3
"929","183","8","4","1","8",5
"2290","1575","6","3","0","12",2
"2851","1457","4","2","0","4",4
"1739","2084","8","6","0","10",5
"1376","542","2","2","0","3",2
"2018","599","4","1","0","5",5
"465","1086","6","6","1","6",4
"1881","971","6","4","1","15",3
"905","1534","6","1","0","12",5
"2426","2034","2","1","1","6",3
"2083","1919","2","1","0","3",4
"2063","307","8","3","1","2",4
"481","610","6","1","0","6",1
"2276","67","8","5","1","4",2
"2949","1790","6","1","0","10",3
"59","1379","8","6","0","4",3
"1127","870","8","4","0","9",4
"1666","420","8","3","0","9",4
"2470","25","6","6","0","5",5
"1574","34","6","3","1","14",2
"211","613","6","5","1","8",4
"2159","1345","8","6","0","4",1
"2896","281","2","1","1","6",3
"2608","736","4","2","1","8",3
"265","1284","4","4","0","4",2
"1423","329","4","3","0","10",3
"637","1267","2","2","0","2",4
"479","538","2","2","1","11",3
"2779","944","2","1","1","11",4
"1623","158","8","4","0","6",2
"1016","218","8","3","0","6",5
"1197","756","4","3","0","5",4
"178","526","8","4","1","7",1
"1331","1880","8","5","1","6",5
"1499","1582","6","1","1","2",4
"2722","182","4","1","1","14",5
"2496","1397","4","1","0","5",3
"462","1776","4","1","1","12",3
"2264","67","4","2","1","4",4
"1869","823","2","1","1","15",1
"2224","1919","2","1","0","3",5
"1764","701","6","2","0","10",2
"701","366","8","1","1","11",2
"1795","1354","2","2","0","9",5
"1399","756","6","5","0","5",3
"182","2102","6","3","0","15",2
"156","283","4","4","0","14",4
"2335","1612","2","1","1","6",4
"245","126","8","6","0","7",3
"1073","505","8","2","0","9",3
"1528","275","2","1","0","3",4
"2842","419","2","1","1","8",4
"1162","944","2","5","1","11",5
"291","538","2","2","1","11",1
"2284","1492","2","1","1","11",4
"179","888","6","3","1","15",5
"2227","1092","2","2","0","12",3
"300","624","8","1","1","9",5
"2236","561","2","1","1","1",5
"1181","1895","8","2","0","15",3
"2561","135","2","1","0","14",2
"989","1900","8","2","1","8",4
"308","63","6","6","0","10",3
"2525","1244","6","5","1","3",5
"326","307","2","2","1","2",4
"2452","856","6","6","1","9",2
"2865","1964","4","2","0","12",1
"628","1006","6","1","0","6",1
"1902","1500","4","3","1","12",2
"79","883","6","5","0","4",5
"728","71","6","1","0","4",5
"95","925","6","3","0","15",5
"368","1594","2","1","1","4",1
"1217","944","4","4","1","11",4
"2080","893","8","4","0","4",3
"1285","856","4","6","0","9",2
"1893","71","6","1","0","4",4
"420","1084","4","4","1","9",1
"631","538","4","1","1","11",2
"2820","802","6","6","0","9",5
"113","264","6","4","1","11",3
"1806","1038","4","1","0","12",4
"45","1629","6","5","1","6",4
"896","1036","2","2","1","7",4
"2436","2113","8","2","0","5",4
"1712","1521","8","3","0","12",5
"2532","1354","2","4","1","9",2
"2059","1687","6","2","0","6",5
"431","900","6","4","0","7",5
"2794","554","8","6","1","6",3
"1346","135","2","1","0","14",2
"2858","989","4","2","0","14",1
"501","1281","4","2","1","6",3
"66","420","8","6","0","9",2
"94","1499","6","2","0","15",3
"1242","1084","2","2","1","9",3
"2540","273","6","5","0","10",4
"1825","1354","4","1","0","9",3
"1993","661","6","1","0","3",5
"1993","1897","6","5","1","6",5
"2970","67","8","6","0","4",4
"2457","1295","2","1","1","8",4
"1554","538","2","2","1","11",3
"2675","2052","4","1","0","14",3
"835","2092","8","4","0","14",2
"235","737","8","6","0","4",2
"1736","220","6","5","0","12",3
"635","602","2","1","1","12",4
"1033","1834","8","4","0","5",1
"684","126","2","1","0","7",5
"992","505","8","2","0","9",1
"295","973","4","4","1","4",5
"1834","307","2","2","1","2",5
"539","624","2","1","0","9",3
"182","2055","6","6","1","12",2
"1241","679","6","3","0","7",1
"990","1265","2","4","0","6",5
"1695","42","4","3","1","11",3
"212","647","8","6","1","12",3
"247","1203","8","6","1","3",4
"2831","327","2","2","1","2",3
"1129","1314","4","3","0","12",1
"368","827","2","1","1","12",2
"531","1963","4","1","0","6",3
"1096","638","6","1","0","3",5
"292","367","6","5","1","6",2
"401","603","8","6","1","8",5
"159","1920","8","6","1","10",4
"156","135","4","4","0","14",1
"1056","1774","6","2","0","12",3
"776","143","6","1","0","12",4
"646","670","4","2","0","5",4
"2138","1503","8","2","0","6",2
"527","1780","2","1","1","11",2
"465","143","6","3","0","12",4
"469","1881","8","4","1","3",2
"275","2157","8","4","0","10",1
"300","1504","8","6","0","11",1
"1889","554","4","3","1","6",3
"595","790","2","1","1","11",4
"246","1158","6","5","1","9",1
"163","946","6","6","1","8",4
"396","551","2","4","0","6",4
"1208","622","4","3","1","11",5
"675","696","4","4","1","9",1
"385","2096","6","3","0","10",2
"2246","1841","8","6","1","12",3
"300","1536","8","6","0","11",2
"2607","1528","6","1","1","6",5
"1037","163","4","1","0","7",5
"1992","246","8","2","0","4",5
"2651","1938","8","4","1","8",4
"964","366","8","3","1","11",4
"2251","236","4","3","0","5",4
"210","1382","8","4","1","3",4
"2525","1984","6","3","0","10",3
"2725","548","2","1","0","7",5
"1806","401","4","4","1","4",4
"1604","1119","2","2","0","9",3
"226","946","2","2","1","8",3
"1291","1056","4","2","1","8",3
"1311","827","2","1","1","12",5
"2159","1165","8","3","0","4",4
"157","1382","6","4","0","3",3
"299","1760","2","1","1","6",1
"157","1080","6","4","0","3",4
"346","1025","4","2","0","4",3
"1594","1017","8","6","0","15",1
"2420","352","8","6","0","15",3
"2593","1264","6","4","0","11",5
"2142","1749","4","1","0","10",3
"310","1369","2","6","0","6",1
"2861","1596","6","2","0","10",3
"1984","403","4","1","0","1",4
"328","1749","8","3","0","10",1
"1748","135","8","5","0","14",4
"2095","1537","6","6","1","12",3
"734","977","2","1","1","6",5
"1133","67","6","4","1","4",1
"2206","563","4","3","1","15",2
"1025","1842","6","6","0","3",2
"2338","1155","2","1","1","11",3
"2209","1028","4","4","0","4",3
"2315","1312","4","3","0","9",4
"84","352","6","2","0","15",4
"809","1816","6","5","0","12",3
"2511","260","2","2","1","12",3
"1167","214","2","2","1","4",3
"864","441","8","4","0","10",3
"1535","1978","6","2","0","15",4
"414","575","6","1","0","3",3
"1729","524","4","2","0","4",3
"1103","369","6","2","1","6",4
"1428","1537","2","1","1","12",4
"2742","2100","6","1","0","9",2
"2507","548","8","4","0","7",3
"595","1312","2","1","0","9",3
"579","642","6","1","0","10",1
"1277","598","8","3","1","10",5
"2913","1207","4","3","0","9",5
"646","561","4","3","1","1",4
"2324","135","4","3","1","14",1
"2712","1127","4","1","0","14",1
"1538","1250","8","6","0","14",3
"2103","7","8","6","1","11",5
"1338","2079","4","3","1","11",3
"1190","2084","4","2","0","10",5
"694","603","8","6","1","8",3
"318","973","2","2","0","4",3
"2744","82","8","1","0","9",5
"2247","2034","2","1","0","6",4
"1114","2116","6","1","0","9",2
"159","1126","8","6","1","8",4
"2659","827","2","2","1","12",3
"128","662","8","4","1","4",2
"268","157","8","5","1","11",3
"2920","1312","4","3","0","9",4
"1073","873","8","1","0","9",3
"1127","626","8","6","1","14",2
"1231","893","4","4","0","4",2
"2467","1834","8","4","0","5",4
"2432","1575","6","1","0","12",5
"2086","1244","6","5","1","3",2
"1039","1736","6","6","1","12",1
"2274","1529","6","4","0","10",2
"2926","1827","4","1","1","6",3
"694","307","8","5","1","2",2
"730","1002","6","2","0","2",1
"2205","273","2","1","0","10",2
"1188","375","6","6","1","1",2
"789","1919","2","1","1","3",4
"180","595","8","6","0","15",3
"1935","1881","6","1","0","3",3
"1168","231","8","5","0","4",3
"548","204","4","1","0","12",3
"1701","989","4","2","0","14",2
"1851","1049","2","1","1","2",1
"1555","2116","6","1","0","9",5
"1858","1984","8","3","0","10",2
"1323","1808","6","3","0","4",3
"328","369","8","6","1","6",3
"346","740","4","2","1","15",5
"1146","870","8","4","0","9",1
"948","760","8","2","0","15",2
"45","1314","6","5","0","12",3
"183","467","6","4","1","12",5
"2355","26","8","4","0","15",5
"2475","1382","8","3","1","3",2
"860","1492","2","1","1","11",2
"2183","412","6","1","0","11",2
"1289","1780","6","6","1","11",3
"1761","1165","8","1","0","4",2
"1947","1482","6","1","0","3",1
"1737","70","8","6","1","11",2
"2866","417","2","2","0","12",5
"1174","682","4","1","0","4",2
"2237","236","2","1","0","5",3
"2642","273","2","1","0","10",1
"572","1086","2","2","1","6",1
"2660","801","4","4","0","5",5
"1215","903","4","4","0","15",4
"370","1594","6","4","0","4",1
"994","624","6","1","0","9",5
"2813","204","8","3","0","12",4
"1503","287","8","3","0","7",5
"2423","1722","8","6","0","11",1
"2898","714","2","2","1","7",4
"1238","1529","6","4","0","10",2
"2631","1521","6","3","0","12",4
"1039","772","6","4","0","7",1
"2328","561","4","3","1","1",1
"2907","944","4","5","1","11",5
"277","717","6","1","0","15",5
"2900","1412","6","4","1","12",4
"736","1317","4","3","0","5",1
"2417","508","2","6","1","11",4
"1751","2083","4","2","1","6",1
"2588","664","2","2","1","11",5
"1295","2079","8","6","1","11",1
"1410","371","8","4","0","4",3
"225","1558","8","4","0","15",4
"678","1049","4","2","1","2",3
"679","854","8","1","0","15",3
"1011","1501","6","1","0","4",2
"2726","1158","6","5","1","9",1
"409","1705","4","3","1","11",4
"392","1300","6","1","0","5",5
"1245","862","2","2","0","10",4
"238","624","6","1","0","9",4
"927","260","4","1","0","12",4
"2870","1939","8","2","0","3",5
"1053","714","6","6","1","7",1
"2776","1705","6","5","1","11",3
"705","2147","6","4","1","14",2
"514","1763","6","2","0","9",1
"1463","624","2","1","0","9",5
"110","1056","6","3","1","8",5
"203","1487","6","5","0","7",2
"1365","1775","8","6","0","15",4
"974","252","6","5","0","6",3
"1968","756","6","3","0","5",3
"998","583","4","1","0","11",2
"1072","1002","4","3","1","2",3
"2485","483","6","4","1","2",3
"848","1354","2","2","0","9",3
"1696","624","2","1","0","9",4
"431","265","6","3","0","7",4
"1686","204","4","1","0","12",3
"225","297","8","6","1","9",4
"915","827","2","2","0","12",4
"564","474","6","2","1","1",3
"2715","1819","8","5","1","1",4
"1627","1172","6","6","0","10",2
"2125","1314","8","5","0","12",2
"2088","603","8","3","1","8",2
"2872","603","8","6","1","8",4
"1005","2085","2","2","0","3",1
"2171","17","4","3","0","2",3
"2477","827","6","2","1","12",3
"1595","377","2","2","0","10",2
"2128","1696","8","3","1","5",3
"129","7","6","6","1","11",4
"772","1686","6","5","1","8",2
"1908","1808","8","3","0","4",5
"46","736","8","3","1","8",4
"85","1438","8","3","1","4",5
"1750","1396","6","3","1","1",2
"415","19","2","2","1","15",3
"817","527","6","1","0","15",4
"2129","1711","4","2","1","3",5
"1437","1504","8","6","0","11",3
"2235","787","6","6","1","12",3
"33","827","8","5","0","12",5
"1966","182","8","3","1","14",3
"1332","2113","6","6","0","5",1
"1212","1594","2","1","0","4",3
"2544","842","4","2","0","5",5
"1989","358","8","6","0","9",5
"1773","377","8","3","0","10",5
"1047","1817","8","6","1","11",3
"1290","732","6","3","1","8",5
"1624","714","8","6","1","7",4
"314","314","4","1","1","11",4
"1001","487","8","2","0","14",3
"2413","1049","4","2","1","2",2
"1382","296","4","2","1","11",5
"955","369","2","1","1","6",1
"610","1718","6","1","1","8",4
"344","2085","2","3","0","3",1
"1481","893","4","4","0","4",4
"1156","1557","2","1","0","3",4
"385","642","6","1","0","10",3
"172","67","6","6","0","4",1
"839","856","6","6","1","9",1
"239","2025","2","1","0","6",4
"669","624","8","6","0","9",4
"2688","561","4","3","1","1",1
"356","2034","4","1","1","6",4
"697","593","6","3","0","12",4
"2887","925","6","2","0","15",5
"159","230","8","6","0","4",4
"1460","827","4","1","0","12",3
"2274","323","6","3","0","10",3
"959","900","8","5","1","7",4
"274","417","2","5","0","12",3
"2406","2034","2","1","0","6",5
"296","1219","4","2","1","6",1
"1500","392","4","1","0","15",1
"833","2053","6","4","1","6",5
"2355","1948","8","6","0","15",5
"2363","367","2","4","0","6",3
"2563","1094","2","1","1","1",5
"2088","1513","8","3","1","12",4
"1341","61","4","2","0","14",4
"531","693","4","1","1","2",3
"584","17","4","3","1","2",3
"1524","1173","6","3","1","6",3
"45","204","6","5","0","12",3
"1713","1817","6","3","0","11",3
"790","71","8","1","1","4",5
"78","67","6","4","1","4",4
"566","1919","2","1","0","3",3
"2514","144","8","3","0","7",3
"2313","1059","4","4","0","6",4
"39","197","2","3","0","9",5
"1266","432","2","1","0","3",2
"758","1219","4","2","1","6",1
"2169","1964","8","4","0","12",1
"2933","1537","2","1","1","12",3
"666","1780","4","4","1","11",3
"981","973","2","2","1","4",2
"277","2055","6","3","1","12",5
"556","1030","6","4","1","6",3
"1193","1546","8","3","0","6",4
"2968","973","6","6","0","4",2
"2699","1537","8","6","1","12",2
"1985","182","4","1","1","14",2
"1378","1610","4","5","1","9",2
"193","2075","8","4","0","12",2
"763","829","4","3","0","1",4
"1532","1097","4","1","1","6",5
"439","150","4","4","0","8",3
"248","453","8","1","0","5",5
"1572","505","6","2","0","9",2
"727","1711","8","6","0","3",4
"1611","146","8","5","0","4",2
"113","1250","6","5","1","14",1
"1110","704","4","2","1","11",3
"864","2157","8","4","0","10",4
"959","1185","8","4","0","4",2
"610","1302","6","2","0","9",1
"773","1755","4","1","1","11",5
"1958","1366","6","1","0","6",2
"1232","1919","2","1","0","3",5
"1052","819","6","1","1","12",1
"2698","1275","6","5","1","11",5
"2769","67","4","2","1","4",2
"2480","2110","6","2","0","4",3
"128","1314","8","5","0","12",2
"2264","260","4","1","0","12",5
"2074","420","6","1","0","9",4
"569","92","2","2","0","6",2
"37","361","6","5","0","12",5
"2935","1025","6","2","1","4",3
"1591","96","4","3","1","11",1
"365","728","6","3","0","3",2
"2078","1011","4","1","1","9",3
"1629","42","8","6","1","11",5
"598","1461","4","3","0","5",1
"2638","760","4","1","0","15",1
"908","1265","6","6","1","6",3
"1712","139","8","6","0","12",2
"2132","621","8","5","1","2",5
"2523","856","2","6","1","9",4
"557","2036","2","5","1","8",1
"2345","1241","8","1","0","4",5
"2607","313","6","2","0","4",5
"246","1897","6","5","1","6",2
"811","1354","8","5","0","9",4
"2755","57","6","5","1","11",3
"1241","1649","6","2","0","7",3
"2031","1711","6","4","1","3",5
"2379","1736","6","6","1","12",5
"1162","714","2","2","1","7",2
"1564","1537","8","6","1","12",1
"857","835","4","3","0","8",4
"33","2053","8","6","1","6",2
"1737","1264","8","5","1","11",3
"1277","828","8","4","0","4",2
"37","2015","6","6","0","12",4
"555","989","4","2","0","14",3
"2726","1205","6","3","0","3",3
"1718","468","6","2","0","12",2
"2876","679","4","1","0","7",4
"1387","377","2","2","0","10",2
"1398","1594","8","6","0","4",5
"1701","790","4","3","1","11",5
"154","137","6","6","0","4",2
"1788","626","6","6","1","14",4
"1736","1948","6","4","1","15",3
"2804","1354","6","3","0","9",4
"406","2103","8","6","1","11",5
"179","1629","6","5","1","6",2
"2112","1840","2","6","1","11",2
"2927","1376","8","3","0","12",5
"335","2100","4","2","0","9",3
"2389","1158","6","5","1","9",3
"2699","1775","8","6","0","15",4
"2513","829","4","3","0","1",2
"1672","1035","6","1","1","4",4
"2014","1578","4","4","1","12",3
"2919","34","8","2","0","14",1
"1833","2160","8","6","1","2",3
"1405","1244","2","1","0","3",3
"194","1504","6","6","1","11",1
"1540","714","4","4","1","7",3
"154","1975","6","5","0","4",3
"51","1633","6","2","1","1",5
"605","1724","4","5","0","5",1
"2656","228","8","4","0","9",5
"2617","2157","8","5","0","10",2
"1752","1711","6","4","0","3",5
"888","1892","8","3","0","12",1
"162","1349","6","5","0","2",5
"2159","827","8","6","1","12",1
"1406","260","2","1","1","12",4
"462","2086","4","4","1","12",1
"2605","1123","6","5","1","8",3
"2272","305","8","1","0","9",1
"392","842","6","5","0","5",5
"2627","1780","4","3","1","11",3
"2511","2086","2","2","1","12",2
"2616","2026","6","3","1","8",2
"1556","52","8","3","0","4",1
"2872","2026","8","5","1","8",5
"48","827","8","6","1","12",5
"362","704","4","2","1","11",5
"2722","1312","4","3","0","9",3
"1171","1537","4","4","0","12",5
"2114","1919","2","1","1","3",4
"1480","1086","4","4","1","6",3
"2534","34","4","1","1","14",4
"401","1780","8","6","1","11",4
"889","95","8","4","0","10",4
"1432","862","4","6","0","10",3
"2034","1047","8","1","0","12",3
"1470","2084","4","1","0","10",5
"2282","817","4","2","1","4",3
"1331","798","8","2","0","4",2
"211","1338","6","5","0","15",2
"2084","369","2","1","1","6",2
"442","1390","8","1","0","9",5
"2849","150","2","2","0","8",2
"587","1301","2","2","0","12",4
"2340","945","6","1","1","4",4
"1944","82","2","2","1","9",2
"2453","1845","6","4","0","11",4
"2909","2103","8","6","1","11",3
"2038","823","2","1","1","15",4
"2203","621","4","1","1","2",4
"989","2052","8","5","0","14",3
"1685","1161","4","1","0","11",5
"2839","446","6","6","1","6",1
"478","378","6","1","0","5",5
"776","1780","6","5","1","11",2
"2940","1701","2","1","1","2",4
"1039","1082","6","3","0","7",4
"905","1483","6","3","0","12",4
"541","2105","6","5","1","6",3
"2850","672","6","4","1","1",5
"2902","805","8","6","0","9",5
"693","606","6","3","0","10",1
"788","273","6","5","0","10",4
"2405","693","4","2","1","2",2
"2781","679","8","6","0","7",3
"2065","881","8","5","0","9",4
"2664","309","4","3","0","10",2
